repo_name,problems_total,critical_issues,high_issues,moderate_issues,low_issues,problems
5calls_ios,0,0,0,0,0,[]
Bahmni_bahmni-core,654,258,141,138,0,"[('Incorrect autowiring in Spring bean components', 161), (""Non recommended 'field' injections"", 111), ('Incorrect Spring Core XML-based application contex', 90), ('Injection value in XML application context violate', 43), ('Deprecated API usage', 40), (""Field may be 'final'"", 31), ('Unused assignment', 21), ('Constant values', 16), ('Non-constant string concatenation as argument to l', 14), ('Unchecked warning', 14), ('Nullability and data flow problems', 12), ('Redundant type cast', 9), (""Redundant 'Collection.addAll()' call"", 8), ('Wrapper type may be primitive', 8), ('Incorrect constructor injection in XML Spring bean', 6), (""AutoCloseable used without 'try'-with-resources"", 5), ('Non-safe string is used as SQL', 4), ('Unnecessary autowired dependency in XML applicatio', 4), ('Non-distinguishable logging calls', 4), ('Field can be local', 4), (""'size() == 0' can be replaced with 'isEmpty()'"", 3), ('Bulk operation can be used instead of iteration', 2), ('Conflicting Spring bean attribute', 2), ('Duplicate condition', 2), (""Number comparison using '==', instead of 'equals()"", 2), ('Octal integer', 2), ('Result of method call ignored', 2), (""String concatenation as argument to 'StringBuilder"", 2), ('Logger initialized with foreign class', 2), ('@NotNull/@Nullable problems', 2), (""Redundant 'String' operation"", 2), ('Redundant character escape', 2), ('Unnecessary modifier', 2), ('Duplicated code fragment', 2), ('Unassignable injection point type in XML applicati', 1), (""'equals()' between objects of inconvertible types"", 1), (""'finally' block which can not complete normally"", 1), (""'return' inside 'finally' block"", 1), ('Boxing of already boxed value', 1), ('Expression is compared to itself', 1), ('Inefficient Stream API call chains ending with cou', 1), ('Malformed format string', 1), ('String concatenation in loop', 1), (""Suspicious 'Comparator.compare()' implementation"", 1), ('Taint analysis', 1), (""Unnecessary 'null' check before method call"", 1), (""'if' statement with identical branches or common p"", 1), ('Unknown HTTP header', 1), (""Call to 'Arrays.asList()' with too few arguments"", 1), (""Redundant 'Collection' operation"", 1), ('Redundant type arguments', 1), ('Too weak variable type leads to unnecessary cast', 1), (""Unnecessary call to 'toString()'"", 1), ('Unused import', 1)]"
CenterForOpenScience_SHARE,908,1,41,842,0,"[('Method is not declared static', 222), ('Unused local symbols', 130), ('Class has no `__init__` method', 122), ('Accessing a protected member of a class or a modul', 105), ('Redundant parentheses', 94), ('Single quoted docstring', 76), ('PEP 8 naming convention violation', 48), ('Shadowing names from outer scopes', 18), ('An instance attribute is defined outside `__init__', 14), ('Incorrect type', 13), ('Method signature does not match signature of overr', 10), ('Unbound local variables', 9), ('Vulnerable declared dependency', 6), ('Incorrect docstring', 4), ('__init__.py                                    An invalid interpreter', 3), ('urls.py                                        An invalid interpreter', 3), ('apps.py                                        An invalid interpreter', 2), ('exceptions.py                                  An invalid interpreter', 2), ('serializers.py                                 An invalid interpreter', 2), ('Incorrect call arguments', 2), ('Invalid type hints definitions and usages', 2), ('Statement has no effect', 2), ('__init__ method that returns a value', 2), ('Improper first parameter', 2), ('authentication.py                              An invalid interpreter', 1), ('deprecation.py                                 An invalid interpreter', 1), ('fields.py                                      An invalid interpreter', 1), ('middleware.py                                  An invalid interpreter', 1), ('pagination.py                                  An invalid interpreter', 1), ('permissions.py                                 An invalid interpreter', 1), ('views.py                                       An invalid interpreter', 1), ('urls_v1.py                                     An invalid interpreter', 1), ('util.py                                        An invalid interpreter', 1), ('deletion.py                                    An invalid interpreter', 1), ('manage.py                                      An invalid interpreter', 1), ('setup.py                                       An invalid interpreter', 1), (""Assignments to 'for' loop or 'with' statement para"", 1), ('Class must implement all abstract methods', 1), ('Dictionary creation can be rewritten by dictionary', 1), ('Duplicated code fragment', 1)]"
CenterForOpenScience_osf.io,73,15,2194,6812,0,"[('Accessing a protected member of a class or a modul', 1769), ('Fixture is not requested by test functions', 1617), ('Unused local symbols', 1527), ('Class has no `__init__` method', 965), ('Method is not declared static', 765), ('PEP 8 naming convention violation', 571), ('Single quoted docstring', 388), ('Redundant parentheses', 265), ('Incorrect type', 255), ('Incorrect docstring', 245), ('An instance attribute is defined outside `__init__', 143), ('Shadowing names from outer scopes', 87), ('Method signature does not match signature of overr', 61), ('Incorrect call arguments', 45), ('Unbound local variables', 43), ('Incorrect property definition', 38), ('Attempt to call a non-callable object', 35), ('Class must implement all abstract methods', 34), ('Statement has no effect', 29), ('Unnecessary non-capturing group', 25), ('Duplicated code fragment', 24), ('Regular expression can be simplified', 22), ('Single character alternation', 16), ('Hardcoded passwords', 15), ('Improper first parameter', 15), ('Dictionary creation can be rewritten by dictionary', 11), ('Dictionary contains duplicate keys', 8), ('Using equality operators to compare with None', 8), ('Vulnerable declared dependency', 8), ('Redeclared names without usages', 7), ('Unreachable code', 4), ('Redundant boolean variable check', 4), ('views.py                                            An invalid interpreter', 3), ('Incorrect arguments in @pytest.mark.parametrize', 3), (""Assigning function calls that don't return anythin"", 3), ('Redundant character escape', 3), ('urls.py                                             An invalid interpreter', 2), (""Missed call to '__init__' of the super class"", 2), ('__init__ method that returns a value', 2), ('tasks.py                                            An invalid interpreter', 1), ('content_negotiation.py                              An invalid interpreter', 1), ('middleware.py                                       An invalid interpreter', 1), ('requests.py                                         An invalid interpreter', 1), ('storage.py                                          An invalid interpreter', 1), ('wsgi.py                                             An invalid interpreter', 1), ('serializers.py                                      An invalid interpreter', 1), ('conftest.py                                         An invalid interpreter', 1), ('main.py                                             An invalid interpreter', 1), ('manage.py                                           An invalid interpreter', 1), ('__init__.py                                         An invalid interpreter', 1), ('app.py                                              An invalid interpreter', 1), ('landing_pages.py                                    An invalid interpreter', 1), ('language.py                                         An invalid interpreter', 1), ('mailchimp_utils.py                                  An invalid interpreter', 1), ('maintenance.py                                      An invalid interpreter', 1), ('routes.py                                           An invalid interpreter', 1), ('security.py                                         An invalid interpreter', 1), ('signals.py                                          An invalid interpreter', 1), ('Consecutive spaces', 1), ('Inappropriate access to properties', 1), ('Invalid type hints definitions and usages', 1), ('Wrong arguments to call super', 1), (""Assignments to 'for' loop or 'with' statement para"", 1), ('Global variable is not defined at the module level', 1), ('Too complex chained comparisons', 1), ('Unclear exception clauses', 1)]"
ClimateWatch-Vizzuality_climate-watch,13,941,27107,314,0,"[('Comma expression', 12111), ('Duplicate declaration', 6134), ('Equality operator may cause type coercion', 2842), ('Unused assignment', 1680), ('Unused local symbol', 1588), ('Potentially invalid constructor usage', 1111), ('ESLint', 941), (""Suspicious '=+' assignment"", 871), ('Deprecated symbol used', 232), ('Assignment used as condition', 153), ('Single character alternation', 148), ('Consecutive commas in array literal', 119), ('Referencing mutable variable from closure', 69), ('Duplicate character in character class', 67), ('Implicitly declared global JavaScript variable', 54), ('Void function return value used', 30), (""Fallthrough in 'switch' statement"", 28), ('Bitwise operator usage', 25), ('Unreachable code', 24), ('Unnecessary non-capturing group', 18), ('Variable is assigned to itself', 16), (""Loop statement that doesn't loop"", 12), ('Expression statement which is not assignment or ca', 12), ('Unresolved JSX component', 12), ('Unnecessary semicolon', 8), ('Statement with empty body', 8), ('Exception used for local control-flow', 7), ('JQuery selector can be optimized', 6), (""'throw' inside 'finally' block"", 5), ('Suspicious variable/parameter name combination', 5), ('Redundant local variable', 5), ('Identifiers with non-ASCII symbols', 4), (""Object is 'null' or 'undefined'"", 4), ('Pointless statement or boolean expression', 4), (""Potentially invalid reference to 'this' from closu"", 4), (""Variable is declared and being used in different '"", 4), ('Comparison of expressions having incompatible type', 4), ('Mismatched query and update of collection', 3), ('Primitive type object wrapper used', 2), (""'return' inside 'finally' block"", 1), (""'this' expression which references the global obje"", 1), (""'typeof' comparison with non-standard value"", 1), ('Infinite recursion', 1), ('Unused import', 1)]"
ConservationInternational_trends.earth,22,0,642,616,0,"[('Incorrect type', 430), ('PEP 8 naming convention violation', 211), ('Unsatisfied package requirements', 195), ('Unused local symbols', 112), ('Method is not declared static', 67), ('Unbound local variables', 62), ('An instance attribute is defined outside `__init__', 49), ('Shadowing names from outer scopes', 38), ('Incorrect call arguments', 19), ('Improper first parameter', 14), ('Shadowing built-in names', 13), ('main.py                                              Unresolved references', 12), ('Single quoted docstring', 12), (""Assigning function calls that don't return anythin"", 9), ('Redundant parentheses', 6), ('Unclear exception clauses', 5), ('landpks_test_api.ipynb                               Unresolved references', 4), ('__init__.py                                          Unresolved references', 4), ('Statement has no effect', 3), ('Redeclared names without usages', 2), ('The default argument is mutable', 2), ('Tuple item assignment is prohibited', 2), ('Accessing a protected member of a class or a modul', 2), ('Dictionary creation can be rewritten by dictionary', 2), ('Duplicated code fragment', 2), ('Unnecessary non-capturing group', 1), ('Unreachable code', 1), ('Non-optimal list declaration', 1)]"
Datawheel_canon,91,1045,2011,137,0,"[('ESLint', 1041), ('Unused local symbol', 686), (""'typeof' comparison with non-standard value"", 385), ('Syntax errors and unresolved references in JSDoc', 205), ('Comma expression', 202), ('Mismatched JSDoc and function signature', 141), ('Equality operator may cause type coercion', 101), ('Redundant local variable', 82), ('Deprecated symbol used', 77), ('Duplicate declaration', 63), ('Unreachable code', 38), ('Unused assignment', 38), ('Unresolved JSX component', 33), ('Constant conditional expression', 21), ('Pointless statement or boolean expression', 16), ('Result of method call returning a promise is ignor', 15), ('Referencing mutable variable from closure', 13), ('Unused import', 12), (""'throw' inside 'finally' block"", 11), ('Unnecessary semicolon', 10), ('Void function return value used', 10), ('Bitwise operator usage', 9), ('Assignment used as condition', 7), ('Incorrect usage of JSDoc tags', 7), ('Redundant character escape', 6), ('Exception used for local control-flow', 5), (""Unnecessary 'return' statement"", 5), ('Expression statement which is not assignment or ca', 5), ('Mismatched query and update of collection', 4), ('Single character alternation', 4), ('Missing await for an async function call', 4), ('Suspicious variable/parameter name combination', 3), ('Duplicated code fragment', 3), ('Attempt to assign to const or readonly variable', 2), ('Hardcoded passwords', 2), (""Fallthrough in 'switch' statement"", 2), ('Potentially invalid constructor usage', 2), (""Unnecessary 'continue' statement"", 2), ('Unnecessary non-capturing group', 2), ('Comparison of expressions having incompatible type', 2), ('Import can be shortened', 1), (""Loop statement that doesn't loop"", 1), (""Object is 'null' or 'undefined'"", 1), ('Primitive type object wrapper used', 1), (""Unnecessary label on 'continue' statement"", 1), ('Variable is assigned to itself', 1), (""Variable is declared and being used in different '"", 1), (""Redundant 'await' expression"", 1)]"
Flowminder_FlowKit,1014,5,196,781,0,"[('Incorrect docstring', 194), ('Unused local symbols', 193), ('PEP 8 naming convention violation', 162), ('Shadowing names from outer scopes', 84), ('Accessing a protected member of a class or a modul', 53), ('Incorrect type', 51), ('Unbound local variables', 35), ('Shadowing built-in names', 27), ('Fixture is not requested by test functions', 20), ('Method is not declared static', 20), ('Statement has no effect', 19), ('An instance attribute is defined outside `__init__', 15), ('Dictionary creation can be rewritten by dictionary', 14), ('Consecutive spaces', 12), ('Invalid TypedDict definition and usages', 12), ('Duplicated code fragment', 11), ('Incorrect call arguments', 10), ('Redeclared names without usages', 9), ('Redundant parentheses', 9), ('Attempt to call a non-callable object', 8), ('Function call can be replaced with set literal', 7), ('Hardcoded passwords', 5), ('The default argument is mutable', 5), ('Unclear exception clauses', 5), ('cell-towers-per-region.ipynb                                 Unresolved references', 4), ('unique-subscriber-counts.ipynb                               Unresolved references', 4), ('example_usage.ipynb                                          Unresolved references', 4), ('Class must implement all abstract methods', 4), ('Deprecated function, class, or module', 3), ('test_utility_functions.py                                    Unresolved references', 2), ('test_synthetic_data.py                                       Unresolved references', 2), ('Unreachable code', 2), ('test_extensions.py                                           Unresolved references', 1), ('test_geometry.py                                             Unresolved references', 1), ('test_indices.py                                              Unresolved references', 1), ('test_permissions.py                                          Unresolved references', 1), ('test_viewshed.py                                             Unresolved references', 1), ('Method signature does not match signature of overr', 1), ('Prohibited trailing semicolon in a statement', 1), ('Single character alternation', 1), ('Using equality operators to compare with None', 1)]"
GFDRR_thinkhazard,277,0,103,153,0,"[('Unsatisfied package requirements', 77), ('Unused local symbols', 74), ('Shadowing built-in names', 29), ('Incorrect type', 18), ('Unclear exception clauses', 13), ('Shadowing names from outer scopes', 9), ('Unbound local variables', 6), ('An instance attribute is defined outside `__init__', 6), ('Incorrect call arguments', 5), ('__init__.py                                                                        Unresolved references', 4), ('index.py                                                                           Unresolved references', 4), ('publish.py                                                                         Unresolved references', 4), ('import_l10n.py                                                                     Unresolved references', 4), ('The default argument is mutable', 4), ('Method is not declared static', 4), ('Deprecated function, class, or module', 3), ('8584aa2a510d_adding_fr_and_es_names_in_admin_div_.py                               Unresolved references', 2), ('8f08766e4541_add_category_for_urban_flood.py                                       Unresolved references', 2), ('Single character alternation', 2), ('Unreachable code', 2), ('Redundant parentheses', 2), ('d49029073f8f_remove_column_output_coverage.py                                      Unresolved references', 1), ('Accessing a protected member of a class or a modul', 1), ('Dictionary creation can be rewritten by dictionary', 1)]"
GeoNode_geonode,74,2,336,2284,0,"[('Unused local symbols', 767), ('Method is not declared static', 447), ('PEP 8 naming convention violation', 397), ('An instance attribute is defined outside `__init__', 237), ('Shadowing names from outer scopes', 139), ('Unbound local variables', 128), ('Accessing a protected member of a class or a modul', 88), ('Unnecessary non-capturing group', 65), ('Redundant parentheses', 65), ('Class has no `__init__` method', 54), ('Incorrect type', 41), ('Single character alternation', 40), ('Incorrect docstring', 34), ('Redundant character escape', 29), ('Duplicated code fragment', 19), ('Single quoted docstring', 18), ('Method signature does not match signature of overr', 14), ('Improper first parameter', 11), ('Duplicate branch in alternation', 10), ('Incorrect call arguments', 10), ('Statement has no effect', 10), ('Vulnerable declared dependency', 9), ('Dictionary creation can be rewritten by dictionary', 8), (""Assignments to 'for' loop or 'with' statement para"", 5), ('Non-optimal list declaration', 4), ('__init__.py                                           An invalid interpreter', 3), ('Duplicate character in character class', 3), ('Redeclared names without usages', 3), ('apps.py                                               An invalid interpreter', 2), ('Hardcoded passwords', 2), ('Class-specific decorator is used outside the class', 2), ('Incorrect property definition', 2), ('Tuple assignment balance is incorrect', 2), (""Assigning function calls that don't return anythin"", 2), ('Redundant boolean variable check', 2), ('Regular expression can be simplified', 2), ('models.py                                             An invalid interpreter', 1), ('celery_app.py                                         An invalid interpreter', 1), ('compat.py                                             An invalid interpreter', 1), ('context_processors.py                                 An invalid interpreter', 1), ('custom_translations.py                                An invalid interpreter', 1), ('decorators.py                                         An invalid interpreter', 1), ('loaders.py                                            An invalid interpreter', 1), ('notifications_backend.py                              An invalid interpreter', 1), ('notifications_helper.py                               An invalid interpreter', 1), ('serializer.py                                         An invalid interpreter', 1), ('singleton.py                                          An invalid interpreter', 1), ('sitemap.py                                            An invalid interpreter', 1), ('urls.py                                               An invalid interpreter', 1), ('version.py                                            An invalid interpreter', 1), ('views.py                                              An invalid interpreter', 1), ('wsgi.py                                               An invalid interpreter', 1), ('manage.py                                             An invalid interpreter', 1), ('setup.py                                              An invalid interpreter', 1), ('tasks.py                                              An invalid interpreter', 1), ('Attempt to call a non-callable object', 1), ('Deprecated function, class, or module', 1), (""Missed call to '__init__' of the super class"", 1)]"
